Ciudad o localidad,Región,OACI,IATA,Nombre,Tipo
Antofagasta,Antofagasta,SCFA,ANF,Aeropuerto Internacional Andrés Sabella,Aeropuerto
Arica,Arica y Parinacota,SCAR,ARI,Aeropuerto Internacional Chacalluta,Aeropuerto
Balmaceda (Coyhaique),Aysén,SCBA,BBA,Aeródromo Balmaceda,Aeródromo
Calama,Antofagasta,SCCF,CJC,Aeródromo El Loa,Aeródromo
Caldera (Copiapó),Atacama,SCAT,CPO,Aeródromo Desierto de Atacama,Aeródromo
Dalcahue (Castro),Los Lagos,SCPQ,MHC,Aeródromo Mocopulli,Aeródromo
Freire (Temuco),La Araucanía,SCQP,ZCO,Aeródromo La Araucanía,Aeródromo
Iquique,Tarapacá,SCDA,IQQ,Aeropuerto Internacional Diego Aracena,Aeropuerto
Isla de Pascua,Valparaíso,SCIP,IPC,Aeropuerto Internacional Mataveri,Aeropuerto
La Serena,Coquimbo,SCSE,LSC,Aeródromo La Florida,Aeródromo
Mariquina (Valdivia),Los Ríos,SCVD,ZAL,Aeródromo Pichoy,Aeródromo
Natales,Magallanes,SCNT,PNT,Aeródromo Teniente Julio Gallardo,Aeródromo
Osorno,Los Lagos,SCJO,ZOS,Aeródromo Cañal Bajo Carlos Hott Siebert,Aeródromo
Puerto Montt,Los Lagos,SCTE,PMC,Aeropuerto Internacional El Tepual,Aeropuerto
Punta Arenas,Magallanes,SCCI,PUQ,Aeropuerto Internacional Presidente Carlos Ibáñez del Campo,Aeropuerto
Pudahuel (Santiago),Metropolitana,SCEL,SCL,Aeropuerto Internacional Arturo Merino Benítez,Aeropuerto
Talcahuano (Concepción),Bío-Bío,SCIE,CCP,Aeródromo Carriel Sur,Aeródromo
Curaco de Vélez,Los Lagos,SCAH,,Aeródromo Tolquién,Aeródromo
Algarrobo,Valparaíso,SCSG,,Aeródromo San Gerónimo,Aeródromo
Alhué,Metropolitana,SCAF,,Aeródromo San Alfonso,Aeródromo
Alto del Carmen,Atacama,SCTQ,,Aeródromo Tres Quebradas,Aeródromo
Ancud,Los Lagos,SCWF,,Aeródromo Faro Punta Corona,Aeródromo
Ancud,Los Lagos,SCAC,ZUD,Aeródromo Pupelde,Aeródromo
Angol,La Araucanía,SCGO,,Aeródromo Los Confines,Aeródromo
Antofagasta,Antofagasta,SCGU,,Aeródromo Aguas Blancas,Aeródromo
Antofagasta,Antofagasta,SCOO,,Aeródromo Cerro Coloso,Aeródromo
Antofagasta,Antofagasta,SCLE,,Aeródromo La Escondida,Aeródromo
Antofagasta,Antofagasta,SCPA,,Aeródromo Paranal,Aeródromo
Antofagasta,Antofagasta,SCWU,,Aeródromo Universidad del Norte,Aeródromo
Arauco,Biobío,SCLY,,Aeródromo La Playa,Aeródromo
Archipiélago Juan Fernández,Valparaíso,SCIR,,Aeródromo Robinson Crusoe,Aeródromo
Ayacara,Los Lagos,SCAY,,Aeródromo Ayacara,Aeródromo
Aysén,Aysén,SCQO,,Aeródromo Quitralco,Aeródromo
Aysén,Aysén,SCEX,,Aeródromo Río Exploradores,Aeródromo
Bahía Inútil,Magallanes,SCBI,DPB,Aeródromo Pampa Guanaco,Aeródromo
Bahía Posesión,Magallanes,SCBS,,Aeródromo Bahía Posesión,Aeródromo
Bulnes,Ñuble,SCUL,,Aeródromo El Litral,Aeródromo
Bulnes,Ñuble,SCUR,,Aeródromo El Refugio,Aeródromo
Bulnes,Ñuble,SCRI,,Aeródromo El Rincón,Aeródromo
Buin,Metropolitana,SCBU,,Aeródromo de Buin,Aeródromo
Cabrero,Biobío,SCAB,,Aeródromo Cabrero,Aeródromo
Calama,Antofagasta,SCCT,,Aeródromo Chuquicamata,Aeródromo
Calama,Antofagasta,SCTM,,Aeródromo Talabre,Aeródromo
Calama,Antofagasta,SCGE,,Aeródromo Gaby,Aeródromo
Calbuco,Los Lagos,SCCC,,Aeródromo Calbuco,Aeródromo
Caldera,Atacama,SCLD,,Aeródromo Caldera,Aeródromo
Caldera,Atacama,SCCA,,Aeródromo Aeromar,Aeródromo
Calera de Tango,Metropolitana,SCCR,,Aeródromo Calera de Tango,Aeródromo
Cañete,Biobío,SCET,,Aeródromo Cañete,Aeródromo
Cartagena,Valparaíso,SCCT,,Aeródromo Santo Domingo,Aeródromo
Castro,Los Lagos,SCST,,Aeródromo de Castro,Aeródromo
Cauquenes,Maule,SCCQ,,Aeródromo Cauquenes,Aeródromo
Cerrillos,Metropolitana,SCTB,,Aeródromo Cerrillos,Aeródromo
Cerro Sombrero,Magallanes,SCAS,,Aeródromo Cerro Sombrero,Aeródromo
Chañaral,Atacama,SCRA,,Aeródromo Chañaral,Aeródromo
Chanco,Maule,SCCH,,Aeródromo Chanco,Aeródromo
Chillán,Ñuble,SCCH,,Aeródromo General Bernardo O'Higgins,Aeródromo
Chonchi,Los Lagos,SCCO,,Aeródromo Chonchi,Aeródromo
Cobquecura,Ñuble,SCCQ,,Aeródromo Cobquecura,Aeródromo
Coihaique,Aysén,SCCO,,Aeródromo Teniente Vidal,Aeródromo
Colchane,Tarapacá,SCOL,,Aeródromo Colchane,Aeródromo
Colina,Metropolitana,SCKI,,Aeródromo La Obra,Aeródromo
Combarbalá,Coquimbo,SCCM,,Aeródromo Combarbalá,Aeródromo
Concepción,Biobío,SCIE,CCP,Aeródromo Carriel Sur,Aeródromo
Constitución,Maule,SCTN,,Aeródromo Constitución,Aeródromo
Contulmo,Biobío,SCCN,,Aeródromo Contulmo,Aeródromo
Copiapó,Atacama,SCAT,CPO,Aeródromo Desierto de Atacama,Aeródromo
Copiapó,Atacama,SCCP,,Aeródromo Las Bombas,Aeródromo
Coquimbo,Coquimbo,SCQM,,Aeródromo La Serena,Aeródromo
Coronel,Biobío,SCCL,,Aeródromo Coronel,Aeródromo
Coyhaique,Aysén,SCCY,,Aeródromo Teniente Vidal,Aeródromo
Cunco,La Araucanía,SCUC,,Aeródromo Cunco,Aeródromo
Curacaví,Metropolitana,SCCV,,Aeródromo Curacaví,Aeródromo
Curanilahue,Biobío,SCUE,,Aeródromo Curanilahue,Aeródromo
Curicó,Maule,SCIC,,Aeródromo General Freire,Aeródromo
Diego de Almagro,Atacama,SCDA,,Aeródromo Diego de Almagro,Aeródromo
El Bosque,Metropolitana,SCEB,,Aeródromo El Bosque,Aeródromo
El Monte,Metropolitana,SCEM,,Aeródromo El Monte,Aeródromo
El Quisco,Valparaíso,SCEQ,,Aeródromo El Quisco,Aeródromo
El Salvador,Atacama,SCES,,Aeródromo El Salvador,Aeródromo
El Tabo,Valparaíso,SCET,,Aeródromo El Tabo,Aeródromo
Empedrado,Maule,SCEP,,Aeródromo Empedrado,Aeródromo
Freirina,Atacama,SCFR,,Aeródromo Freirina,Aeródromo
Futrono,Los Ríos,SCFT,,Aeródromo Futrono,Aeródromo
Gorbea,La Araucanía,SCGO,,Aeródromo Gorbea,Aeródromo
Graneros,O'Higgins,SCGR,,Aeródromo Graneros,Aeródromo
Hanga Roa,Valparaíso,SCIP,IPC,Aeropuerto Internacional Mataveri,Aeródromo
Huasco,Atacama,SCHU,,Aeródromo Huasco,Aeródromo
Illapel,Coquimbo,SCIL,,Aeródromo Illapel,Aeródromo
Isla de Maipo,Metropolitana,SCIM,,Aeródromo Isla de Maipo,Aeródromo
La Calera,Valparaíso,SCLC,,Aeródromo La Calera,Aeródromo
La Cruz,Valparaíso,SCLZ,,Aeródromo La Cruz,Aeródromo
La Estrella,O'Higgins,SCLE,,Aeródromo La Estrella,Aeródromo
La Ligua,Valparaíso,SCLI,,Aeródromo La Ligua,Aeródromo
La Unión,Los Ríos,SCLU,,Aeródromo La Unión,Aeródromo
Lago Ranco,Los Ríos,SCLR,,Aeródromo Lago Ranco,Aeródromo
Las Cabras,O'Higgins,SCCB,,Aeródromo Las Cabras,Aeródromo
Lebu,Biobío,SCLB,,Aeródromo Lebu,Aeródromo
Licantén,Maule,SCLN,,Aeródromo Licantén,Aeródromo
Limache,Valparaíso,SCLM,,Aeródromo Limache,Aeródromo
Linares,Maule,SCLN,,Aeródromo Linares,Aeródromo
Lirquén,Biobío,SCLQ,,Aeródromo Lirquén,Aeródromo
Lolol,O'Higgins,SCLL,,Aeródromo Lolol,Aeródromo
Longaví,Maule,SCLO,,Aeródromo Longaví,Aeródromo
Los Andes,Valparaíso,SCLA,,Aeródromo Los Andes,Aeródromo
Los Lagos,Los Ríos,SCLL,,Aeródromo Los Lagos,Aeródromo
Lota,Biobío,SCLT,,Aeródromo Lota,Aeródromo
Lumaco,La Araucanía,SCLU,,Aeródromo Lumaco,Aeródromo
Machalí,O'Higgins,SCMC,,Aeródromo Machalí,Aeródromo
Malloa,O'Higgins,SCMA,,Aeródromo Malloa,Aeródromo
María Elena,Antofagasta,SCME,,Aeródromo María Elena,Aeródromo
Maule,Maule,SCML,,Aeródromo Maule,Aeródromo
Melipeuco,La Araucanía,SCME,,Aeródromo Melipeuco,Aeródromo
Melipilla,Metropolitana,SCMP,,Aeródromo Melipilla,Aeródromo
Molina,Maule,SCMO,,Aeródromo Molina,Aeródromo
Monte Patria,Coquimbo,SCMT,,Aeródromo Monte Patria,Aeródromo
Mostazal,O'Higgins,SCMZ,,Aeródromo Mostazal,Aeródromo
Mulchén,Biobío,SCMH,,Aeródromo Mulchén,Aeródromo
Nacimiento,Biobío,SCNA,,Aeródromo Nacimiento,Aeródromo
Nancagua,O'Higgins,SCNC,,Aeródromo Nancagua,Aeródromo
Navidad,O'Higgins,SCNV,,Aeródromo Navidad,Aeródromo
Negrete,Biobío,SCNG,,Aeródromo Negrete,Aeródromo
Nueva Imperial,La Araucanía,SCNI,,Aeródromo Nueva Imperial,Aeródromo
Ñuñoa,Metropolitana,SCNU,,Aeródromo Ñuñoa,Aeródromo
Olivar,O'Higgins,SCOL,,Aeródromo Olivar,Aeródromo
Ovalle,Coquimbo,SCOV,,Aeródromo Ovalle,Aeródromo
Padre Hurtado,Metropolitana,SCPH,,Aeródromo Padre Hurtado,Aeródromo
Paillaco,Los Ríos,SCPC,,Aeródromo Paillaco,Aeródromo
Palmilla,O'Higgins,SCPM,,Aeródromo Palmilla,Aeródromo
Parral,Maule,SCPR,,Aeródromo Parral,Aeródromo
Pelarco,Maule,SCPE,,Aeródromo Pelarco,Aeródromo
Pelluhue,Maule,SCPH,,Aeródromo Pelluhue,Aeródromo
Peñaflor,Metropolitana,SCPF,,Aeródromo Peñaflor,Aeródromo
Peralillo,O'Higgins,SCPRL,,Aeródromo Peralillo,Aeródromo
Peumo,O'Higgins,SCPM,,Aeródromo Peumo,Aeródromo
Pichidegua,O'Higgins,SCPD,,Aeródromo Pichidegua,Aeródromo
Pichilemu,O'Higgins,SCPL,,Aeródromo Pichilemu,Aeródromo
Pinto,Ñuble,SCPT,,Aeródromo Pinto,Aeródromo
Placilla,O'Higgins,SCPLL,,Aeródromo Placilla,Aeródromo
Portezuelo,Ñuble,SCPZ,,Aeródromo Portezuelo,Aeródromo
Porvenir,Magallanes,SCFM,WPR,Aeródromo Fuentes Martínez,Aeródromo
Primavera,Magallanes,SCPM,,Aeródromo Primavera,Aeródromo
Puente Alto,Metropolitana,SCPA,,Aeródromo Puente Alto,Aeródromo
Puerto Aisén,Aysén,SCAS,,Aeródromo Puerto Aisén,Aeródromo
Puerto Cisnes,Aysén,SCPC,,Aeródromo Puerto Cisnes,Aeródromo
Puerto Octay,Los Lagos,SCPO,,Aeródromo Puerto Octay,Aeródromo
Puerto Varas,Los Lagos,SCPV,,Aeródromo Puerto Varas,Aeródromo
Puerto Williams,Magallanes,SCGZ,WPU,Aeródromo Guardiamarina Zañartu,Aeródromo
Pumanque,O'Higgins,SCPQ,,Aeródromo Pumanque,Aeródromo
Punta Delgada,Magallanes,SCPD,,Aeródromo Punta Delgada,Aeródromo
Purén,La Araucanía,SCPU,,Aeródromo Purén,Aeródromo
Putaendo,Valparaíso,SCPT,,Aeródromo Putaendo,Aeródromo
Queilén,Los Lagos,SCQL,,Aeródromo Queilén,Aeródromo
