Ciudad,Region,OACI,IATA,Nombre,Tipo
Antofagasta,Antofagasta,SCFA,ANF,Aeropuerto Internacional Andrés Sabella,Aeropuertos (con vuelos comerciales)
Arica,Arica y Parinacota,SCAR,ARI,Aeropuerto Internacional Chacalluta,Aeropuertos (con vuelos comerciales)
Balmaceda (Coyhaique),Aysén,SCBA,BBA,Aeródromo Balmaceda,Aeropuertos (con vuelos comerciales)
Calama,Antofagasta,SCCF,CJC,Aeródromo El Loa,Aeropuertos (con vuelos comerciales)
Caldera (Copiapó),Atacama,SCAT,CPO,Aeródromo Desierto de Atacama,Aeropuertos (con vuelos comerciales)
Dalcahue (Castro),Los Lagos,SCPQ,MHC,Aeródromo Mocopulli,Aeropuertos (con vuelos comerciales)
Freire (Temuco),La Araucanía,SCQP,ZCO,Aeródromo La Araucanía,Aeropuertos (con vuelos comerciales)
Iquique,Tarapacá,SCDA,IQQ,Aeropuerto Internacional Diego Aracena,Aeropuertos (con vuelos comerciales)
Isla de Pascua,Valparaíso,SCIP,IPC,Aeropuerto Internacional Mataveri,Aeropuertos (con vuelos comerciales)
La Serena,Coquimbo,SCSE,LSC,Aeródromo La Florida,Aeropuertos (con vuelos comerciales)
Mariquina (Valdivia),Los Ríos,SCVD,ZAL,Aeródromo Pichoy,Aeropuertos (con vuelos comerciales)
Natales,Magallanes,SCNT,PNT,Aeródromo Teniente Julio Gallardo,Aeropuertos (con vuelos comerciales)
Osorno,Los Lagos,SCJO,ZOS,Aeródromo Cañal Bajo Carlos Hott Siebert,Aeropuertos (con vuelos comerciales)
Puerto Montt,Los Lagos,SCTE,PMC,Aeropuerto Internacional El Tepual,Aeropuertos (con vuelos comerciales)
Punta Arenas,Magallanes,SCCI,PUQ,Aeropuerto Internacional Presidente Carlos Ibáñez del Campo,Aeropuertos (con vuelos comerciales)
Pudahuel (Santiago),Metropolitana,SCEL,SCL,Aeropuerto Internacional Arturo Merino Benítez,Aeropuertos (con vuelos comerciales)
Talcahuano (Concepción),Bío-Bío,SCIE,CCP,Aeródromo Carriel Sur,Aeropuertos (con vuelos comerciales)
Concón (Valparaíso),Valparaíso,SCVM,KNA,Base Aeronaval y Aeropuerto Concón,Bases aéreas (con fuerza aérea o militar)
Quintero,Valparaíso,SCUO,QTR,Base Aérea de Quintero,Bases aéreas (con fuerza aérea o militar)
Rancagua,O'Higgins,SCRG,QRC,Aeródromo de la Independencia,Bases aéreas (con fuerza aérea o militar)
El Bosque (Santiago),Metropolitana,SCBQ,BQE,Base Aérea El Bosque,Bases aéreas (con fuerza aérea o militar)
Arica,Arica y Parinacota,SCAE,,Aeródromo El Buitre,Bases aéreas (con fuerza aérea o militar)
Padre Las Casas,La Araucanía,SCTC,PZS,Base Aérea Maquehue,Bases aéreas (con fuerza aérea o militar)
Isla San Felix,Valparaíso,SCFX,,Base aeronaval,Bases aéreas (con fuerza aérea o militar)
Curaco de Vélez,Los Lagos,SCAH,,Aeródromo Tolquién,Aeródromos
Algarrobo,Valparaíso,SCSG,,Aeródromo San Gerónimo,Aeródromos
Alhué,Metropolitana,SCAF,,Aeródromo San Alfonso,Aeródromos
Alto del Carmen,Atacama,SCTQ,,Aeródromo Tres Quebradas,Aeródromos
Ancud,Los Lagos,SCWF,,Aeródromo Faro Punta Corona,Aeródromos
Ancud,Los Lagos,SCAC,ZUD,Aeródromo Pupelde,Aeródromos
Angol,La Araucanía,SCGO,,Aeródromo Los Confines,Aeródromos
Antofagasta,Antofagasta,SCGU,,Aeródromo Aguas Blancas,Aeródromos
Antofagasta,Antofagasta,SCOO,,Aeródromo Cerro Coloso,Aeródromos
Antofagasta,Antofagasta,SCLE,,Aeródromo La Escondida,Aeródromos
Antofagasta,Antofagasta,SCPA,,Aeródromo Paranal,Aeródromos
Antofagasta,Antofagasta,SCWU,,Aeródromo Universidad del Norte,Aeródromos
Arauco,Biobío,SCLY,,Aeródromo La Playa,Aeródromos
Archipiélago Juan Fernández,Valparaíso,SCIR,,Aeródromo Robinson Crusoe,Aeródromos
Ayacara,Los Lagos,SCAY,,Aeródromo Ayacara,Aeródromos
Aysén,Aysén,SCQO,,Aeródromo Quitralco,Aeródromos
Aysén,Aysén,SCEX,,Aeródromo Río Exploradores,Aeródromos
Bahía Inútil,Magallanes,SCBI,DPB,Aeródromo Pampa Guanaco,Aeródromos
Bahía Posesión,Magallanes,SCBS,,Aeródromo Bahía Posesión,Aeródromos
Bulnes,Ñuble,SCUL,,Aeródromo El Litral,Aeródromos
Bulnes,Ñuble,SCUR,,Aeródromo Rucamalén,Aeródromos
Cabildo,Valparaíso,SCDL,,Aeródromo El Algarrobo,Aeródromos
Caldera,Atacama,SCCL,,Aeródromo Caldera,Aeródromos
Caleta Gonzalo,Los Lagos,SCGN,,Aeródromo Caleta Gonzalo,Aeródromos
Caleta Hueicolla,Los Ríos,SCHK,,Aeródromo Hueicolla,Aeródromos
Cañete,Biobío,SCNM,,Aeródromo Las Misiones,Aeródromos
Cartagena,Valparaíso,SCRS,,Aeródromo El Rosario,Aeródromos
Casablanca,Valparaíso,SCTW,,Aeródromo El Tapihue,Aeródromos
Casablanca,Valparaíso,SCFL,,Aeródromo Fundo Loma Larga,Aeródromos
Casablanca,Valparaíso,SCCS,,Aeródromo Santa Rita,Aeródromos
Casablanca,Valparaíso,SCVA,,Aeródromo Viñamar,Aeródromos
Castro,Los Lagos,SCST,WCA,Aeródromo Gamboa,Aeródromos
Cauquenes,Maule,SCCN,,Aeródromo Alto Cauquenes,Aeródromos
Cauquenes,Maule,SCCE,,Aeródromo El Arenal,Aeródromos
Cauquenes,Maule,SCCA,,Aeródromo El Boldo,Aeródromos
Cerro Castillo,Magallanes,SCPY,,Aeródromo Cerro Castillo,Aeródromos
Cerro Sombrero,Magallanes,SCSB,SMB,Aeródromo Franco Bianco,Aeródromos
Chaitén,Los Lagos,SCTN,WCH,Aeródromo de Chaitén,Aeródromos
Chaitén,Los Lagos,SCHD,,Aeródromo Chumildén,Aeródromos
Chaitén,Los Lagos,SCEA,,Aeródromo El Amarillo,Aeródromos
Chaitén,Los Lagos,SCLR,,Aeródromo Los Alerces,Aeródromos
Chaitén,Los Lagos,SCPN,,Aeródromo Pillán,Aeródromos
Chaitén,Los Lagos,SCUI,,Aeródromo Pumalín,Aeródromos
Chaitén,Los Lagos,SCHT,,Aeródromo Tic Toc,Aeródromos
Chaitén,Los Lagos,SCDH,,Aeródromo Vodudahue,Aeródromos
Chaitén,Los Lagos,SCNC,,Aeródromo Santa Bárbara Ruta 7,Aeródromos
Chañaral,Atacama,SCRA,CNR,Aeródromo Chañaral,Aeródromos
Chépica,O'Higgins,SCEK,,Aeródromo Chépica,Aeródromos
Chile Chico,Aysén,SCCC,CCH,Aeródromo Chile Chico,Aeródromos
Chillán,Ñuble,SCFK,,Aeródromo Fundo El Carmen,Aeródromos
Chillán,Ñuble,SCCH,YAI,Aeródromo General Bernardo O'Higgins,Aeródromos
Chillán,Ñuble,SCAV,,Aeródromo La Vertiente,Aeródromos
Cholguán,Ñuble,SCGS,,Aeródromo Siberia,Aeródromos
Chonchi,Los Lagos,SCFS,,Aeródromo Los Calafates,Aeródromos
Choshuenco,Los Ríos,SCCM,,Aeródromo Molco,Aeródromos
Choshuenco,Los Ríos,SCHN,,Aeródromo Chan Chan,Aeródromos
Chuquicamata,Antofagasta,SCKU,QUI,Aeródromo Chuquicamata,Aeródromos
Cobquecura,Ñuble,SCQR,,Aeródromo Los Morros,Aeródromos
Cochamó,Los Lagos,SCBT,,Aeródromo Rincón Bonito,Aeródromos
Cochamó,Los Lagos,SCKM,,Aeródromo Cochamó,Aeródromos
Cochrane,Aysén,SCVS,,Aeródromo Lago Vargas,Aeródromos
Cochrane,Aysén,SCHR,LGR,Aeródromo Cochrane,Aeródromos
Cochrane,Aysén,SCAL,,Aeródromo Valchac,Aeródromos
Coelemu,Ñuble,SCKT,,Aeródromo Torreón,Aeródromos
Coihueco,Ñuble,SCPI,,Aeródromo Pullami,Aeródromos
Colina,Metropolitana,SCHC,,Aeródromo Chicureo,Aeródromos
Colina,Metropolitana,SCVH,,Aeródromo La Victoria de Chacabuco,Aeródromos
Colina,Metropolitana,SCPD,,Aeródromo Peldehue,Aeródromos
Collipulli,La Araucanía,SCKO,,Aeródromo Agua Buena,Aeródromos
Combarbalá,Coquimbo,SCCB,,Aeródromo Pedro Villarroel,Aeródromos
Combarbalá,Coquimbo,SCCG,,Aeródromo La Pelícana,Aeródromos
Coquimbo,Coquimbo,SCCQ,,Aeródromo Tambillos,Aeródromos
Constitución,Maule,SCCT,,Aeródromo Quivolgo,Aeródromos
Contao,Los Lagos,SCCK,,Aeródromo Contao,Aeródromos
Copiapó,Atacama,SCPS,,Aeródromo Perales,Aeródromos
Copiapó,Atacama,SCHA,,Aeródromo Chamonate,Aeródromos
Diego de Almagro,Atacama,SCEI,,Aeródromo Potrerillos,Aeródromos
Caleta Chañaral de Aceituno,Atacama,SCGV,,Aeródromo Punta Gaviota,Aeródromos
Cumpeo,Maule,SCUM,,Aeródromo La Obra,Aeródromos
Cumpeo,Maule,SCUP,,Aeródromo Lontuecito,Aeródromos
Cunco,La Araucanía,SCGY,,Aeródromo Los Guayes,Aeródromos
Cunco,La Araucanía,SCKC,,Aeródromo Roberto Chávez,Aeródromos
Cunco,La Araucanía,SCLK,,Aeródromo Lago Colico,Aeródromos
Cuncumén,Coquimbo,SCNK,,Aeródromo Los Pelambres,Aeródromos
Curacautín,La Araucanía,SCAI,,Aeródromo de Curacautín,Aeródromos
Curacaví,Metropolitana,SCCV,,Aeródromo Curacaví,Aeródromos
Curepto,Maule,SCZR,,Aeródromo Los Zorrillos de Tonlemu,Aeródromos
Curicó,Maule,SCIC,ZCQ,Aeródromo General Freire,Aeródromos
Curicó,Maule,SCKI,,Aeródromo Los Lirios,Aeródromos
Curicó,Maule,SCTM,,Aeródromo La Montaña,Aeródromos
Coyhaique,Aysén,SCCY,GXQ,Aeródromo Teniente Vidal,Aeródromos
Duao,Maule,SCDM,,Aeródromo San Damián,Aeródromos
Duqueco,Biobío,SCDQ,,Aeródromo San Lorenzo,Aeródromos
El Manzano,O'Higgins,SCMZ,,Aeródromo Marina de Rapel,Aeródromos
El Salvador,Atacama,SCES,ESR,Aeródromo Ricardo García Posada,Aeródromos
Entrada Baker,Aysén,SCEB,,Aeródromo Entrada Baker,Aeródromos
Entrada Mayer,Aysén,SCEY,,Aeródromo Entrada Mayer,Aeródromos
Estación Chañar,Coquimbo,SCEC,,Aeródromo Pelícano,Aeródromos
Fachinal,Aysén,SCFC,,Aeródromo Fachinal,Aeródromos
Freire,La Araucanía,SCSU,,Aeródromo Santa Lucía,Aeródromos
Freirina,Atacama,SCFF,,Aeródromo Freirina,Aeródromos
Frutillar,Los Lagos,SCAA,,Aeródromo Añorada,Aeródromos
Frutillar,Los Lagos,SCEV,,Aeródromo El Avellano,Aeródromos
Frutillar,Los Lagos,SCFI,,Aeródromo Fundo Tehuén,Aeródromos
Frutillar,Los Lagos,SCFR,FRT,Aeródromo Frutillar,Aeródromos
Futaleufú,Los Lagos,SCFT,FFU,Aeródromo Futaleufú,Aeródromos
Futrono,Los Ríos,SCFU,,Aeródromo Loncopan,Aeródromos
Futrono,Los Ríos,SCGF,,Aeródromo Golfo Azul,Aeródromos
